#,Ship,Fandom,Type,Fics
41,"['Hermione Granger', 'Ron Weasley']",Harry PotterJ. K. Rowling,"['F', 'M']",1845
42,"['Spike', 'Buffy Summers']",Buffy the Vampire Slayer,"['F', 'M']",1840
43,"['James Bond', 'Q']",Skyfall (2012),"['M', 'M']",1750
44,"['Adam Lambert', 'Tommy Ratliff']",Adam Lambert (Musician),"['M', 'M']",1746
45,"['Sam Carter', ""Jack O'Neill""]",Stargate SG-1,"['F', 'M']",1716
46,"['Eleventh Doctor', 'River Song']",Doctor Who (2005),"['F', 'M']",1701
47,"['Belle', 'Rumpelstiltskin | Mr. Gold']",Once Upon a Time (TV),"['F', 'M']",1628
48,"['Mycroft Holmes', 'Greg Lestrade']",Sherlock (TV),"['M', 'M']",1555
49,"['Bruce Banner', 'Tony Stark']",The Avengers (Marvel Movies),"['M', 'M']",1554
50,"['Kris Allen', 'Adam Lambert']",American Idol RPF,"['M', 'M']",1550
51,"['Lydia Martin', 'Jackson Whittemore']",Teen Wolf (TV),"['F', 'M']",1539
52,"['Sebastian Moran', 'Jim Moriarty']",Sherlock (TV),"['M', 'M']",1516
53,"['Katniss Everdeen', 'Peeta Mellark']",Hunger Games TrilogySuzanne Collins,"['F', 'M']",1432
54,"['Harry Potter', 'Ginny Weasley']",Harry PotterJ. K. Rowling,"['F', 'M']",1380
55,"['Anthony DiNozzo', 'Jethro Gibbs']",NCIS,"['M', 'M']",1362
56,"['Hermione Granger', 'Draco Malfoy']",Harry PotterJ. K. Rowling,"['F', 'M']",1345
57,"['Santana Lopez', 'Brittany S. Pierce']",Glee,"['F', 'F']",1344
58,"['Brian Kinney', 'Justin Taylor']",Queer as Folk (US),"['M', 'M']",1316
59,"['Tenth Doctor', 'Rose Tyler']",Doctor Who (2005),"['F', 'M']",1294
60,"['Niall Horan', 'Zayn Malik']",One Direction (Band),"['M', 'M']",1291
61,"['Will Graham', 'Hannibal Lecter']",Hannibal (TV),"['M', 'M']",1287
62,"['Rose Lalonde', 'Kanaya Maryam']",Homestuck,"['F', 'F']",1261
63,"['Jane Foster', 'Thor']",The Avengers (Marvel Movies),"['F', 'M']",1243
64,"['Isaac Lahey', 'Scott McCall']",Teen Wolf (TV),"['M', 'M']",1205
65,"['Xander Harris', 'Spike']",Buffy the Vampire Slayer,"['M', 'M']",1133
66,"['Greg House', 'James Wilson']",House M.D.,"['M', 'M']",1126
67,"['Amy Pond', 'Rory Williams']",Doctor Who (2005),"['F', 'M']",1123
68,"['Vernon Boyd', 'Erica Reyes']",Teen Wolf (TV),"['F', 'M']",1080
69,"['William Bodie', 'Ray Doyle']",The Professionals,"['M', 'M']",1078
70,"['Mike Ross', 'Harvey Specter']",Suits (TV),"['M', 'M']",1072
71,"['Dean Winchester', 'Sam Winchester']",Supernatural,Gen,1067
72,"['Lily Evans Potter', 'James Potter']",Harry PotterJ. K. Rowling,"['F', 'M']",1049
73,"['Niall Horan', 'Harry Styles']",One Direction (Band),"['M', 'M']",1037
74,"['John Egbert', 'Karkat Vantas']",Homestuck,"['M', 'M']",1032
75,"['Edward Cullen', 'Bella Swan']",Twilight SeriesStephenie Meyer,"['F', 'M']",1027
76,"['James “Bucky” Barnes', 'Steve Rogers']",Captain America (Movies),"['M', 'M']",1016
77,"['Spock', 'Nyota Uhura']",Star Trek: Alternate Original Series (Movies),"['F', 'M']",1016
78,"['Evil Queen | Regina Mills', 'Emma Swan']",Once Upon a Time (TV),"['F', 'F']",1005
79,"['Jake English', 'Dirk Strider']",Homestuck,"['M', 'M']",1001
80,"['Jessica Moore', 'Sam Winchester']",Supernatural,"['F', 'M']",993
81,"['Remus Lupin', 'Severus Snape']",Harry PotterJ. K. Rowling,"['M', 'M']",971
82,"['Mary Morstan', 'John Watson']",Sherlock (TV),"['F', 'M']",954
83,"['Hermione Granger', 'Severus Snape']",Harry PotterJ. K. Rowling,"['F', 'M']",950
84,"['Clark Kent', 'Bruce Wayne']",DCU (Comics),"['M', 'M']",923
85,"['Fíli', 'Kíli']",The Hobbit (Jackson movies),"['M', 'M']",918
86,"['Agron', 'Nasir']",Spartacus Series (TV),"['M', 'M']",890
87,"['Spencer Smith', 'Brendon Urie']",Panic! at the Disco,"['M', 'M']",889
88,"['America (Hetalia)', 'England (Hetalia)']",Hetalia: Axis Powers,"['M', 'M']",886
89,"['Rachel Berry', 'Quinn Fabray']",Glee,"['F', 'F']",878
90,"['Patrick Stump', 'Pete Wentz']",Fall Out Boy,"['M', 'M']",877
91,"['Tim Drake', 'Kon-El']",DCU (Comics),"['M', 'M']",872
92,"['Kurt Hummel', 'Noah Puckerman']",Glee,"['M', 'M']",839
93,"['Castiel', 'Sam Winchester']",Supernatural,"['M', 'M']",827
94,"['Gwen', 'Arthur Pendragon (Merlin)']",Merlin (TV),"['F', 'M']",822
95,"['Uchiha Sasuke', 'Uzumaki Naruto']",Naruto,"['M', 'M']",819
96,"['Dave Strider', 'Karkat Vantas']",Homestuck,"['M', 'M']",814
97,"['Ryan Ross', 'Brendon Urie']",Panic! at the Disco,"['M', 'M']",809
98,"['Liam Payne', 'Louis Tomlinson']",One Direction (Band),"['M', 'M']",801
99,"['Ian Gallagher', 'Mickey Milkovich']",Shameless (US),"['M', 'M']",796
100,"['Lucifer', 'Sam Winchester']",Supernatural,"['M', 'M']",791
101,"['Courfeyrac', 'Jean Prouvaire']",Les MisérablesAll Media Types,"['M', 'M']",782
102,"['Tim Drake', 'Jason Todd']",DCU (Comics),"['M', 'M']",755
103,"['Cosette Fauchelevent', 'Marius Pontmercy']",Les MisérablesAll Media Types,"['F', 'M']",750
104,"['Sherlock Holmes', 'Molly Hooper']",Sherlock (TV),"['F', 'M']",748
105,"['Frodo Baggins', 'Sam Gamgee']",The Lord of the RingsJ. R. R. Tolkien,"['M', 'M']",742
106,"['Castiel', 'Dean Winchester']",Supernatural,Gen,732
107,"['Chris Pine', 'Zachary Quinto']",Star Trek RPF,"['M', 'M']",730
108,"['Hatake Kakashi', 'Umino Iruka']",Naruto,"['M', 'M']",728
109,"['Peter Burke', 'Neal Caffrey']",White Collar,"['M', 'M']",725
110,"['Zayn Malik', 'Harry Styles']",One Direction (Band),"['M', 'M']",724
111,"['John Sheppard', 'Elizabeth Weir']",Stargate Atlantis,"['F', 'M']",710
112,"['Angel', 'Buffy Summers']",Buffy the Vampire Slayer,"['F', 'M']",708
113,"['Patrick Kane', 'Jonathan Toews']",Hockey RPF,"['M', 'M']",706
114,"['Edward Elric', 'Roy Mustang']",Fullmetal Alchemist,"['M', 'M']",704
115,"['Elizabeth Burke', 'Peter Burke', 'Neal Caffrey']",White Collar,Other,693
116,"['Fox Mulder', 'Dana Scully']",The X-Files,"['F', 'M']",690
117,"['Kate Beckett', 'Richard Castle']",Castle,"['F', 'M']",689
118,"['Terezi Pyrope', 'Karkat Vantas']",Homestuck,"['F', 'M']",683
119,"['Ken Hutchinson', 'David Starsky']",Starsky & Hutch,"['M', 'M']",677
120,"['Brad Colbert', 'Nate Fick']",Generation Kill,"['M', 'M']",675
121,"['Gamzee Makara', 'Tavros Nitram']",Homestuck,"['M', 'M']",673
122,"['Sauli Koskinen', 'Adam Lambert']",Adam Lambert (Musician),"['M', 'M']",671
123,"['Harry Potter', 'Ron Weasley']",Harry PotterJ. K. Rowling,"['M', 'M']",663
124,"['Kurt Hummel', 'David Karofsky']",Glee,"['M', 'M']",662
125,"['Duncan MacLeod', 'Methos']",Highlander: The Series,"['M', 'M']",657
126,"['Qui-Gon Jinn', 'Obi-Wan Kenobi']",Star Wars Episode I: The Phantom Menace,"['M', 'M']",656
127,"['Derek Morgan', 'Spencer Reid']",Criminal Minds,"['M', 'M']",651
128,"['Teddy Altman', 'Billy Kaplan']",Young Avengers,"['M', 'M']",651
129,"['Jade Harley', 'Dave Strider']",Homestuck,"['F', 'M']",637
130,"['Eridan Ampora', 'Sollux Captor']",Homestuck,"['M', 'M']",631
131,"['Female Shepard', 'Garrus Vakarian']",Mass Effect,"['F', 'M']",627
132,"['Arya Stark', 'Gendry Waters']",A Song of Ice and FireGeorge R. R. Martin,"['F', 'M']",609
133,"['Harold Finch', 'John Reese']",Person of Interest (TV),"['M', 'M']",609
134,"['Niall Horan', 'Liam Payne']",One Direction (Band),"['M', 'M']",609
135,"['William Adama', 'Laura Roslin']",Battlestar Galactica (2003),"['F', 'M']",604
136,"['Gene Hunt', 'Sam Tyler']",Life on Mars (UK),"['M', 'M']",601
137,"['Lizzie Bennet', 'William Darcy']",Lizzie Bennet Diaries,"['F', 'M']",599
138,"['Tenth Doctor (duplicate)', 'Rose Tyler']",Doctor Who (2005),"['F', 'M']",596
139,"['Aziraphale', 'Crowley']",Good OmensNeil Gaiman & Terry Pratchett,"['M', 'M']",593
140,"['Aaron Hotchner', 'Spencer Reid']",Criminal Minds,"['M', 'M']",590
141,"['Bradley James', 'Colin Morgan']",Merlin (TV) RPF,"['M', 'M']",588
142,"['Lee Adama', 'Kara Thrace']",Battlestar Galactica (2003),"['F', 'M']",572
143,"['Angel', 'Spike']",Angel: the Series,"['M', 'M']",569
144,"['Sean Bean', 'Viggo Mortensen']",Lord of the Rings RPF,"['M', 'M']",569
145,"['Peter Hale', 'Stiles Stilinski']",Teen Wolf (TV),"['M', 'M']",562
146,"['Kaidan Alenko', 'Male Shepard']",Mass Effect,"['M', 'M']",560
147,"['Clark Kent', 'Lois Lane']",Smallville,"['F', 'M']",551
148,"['Sandor Clegane', 'Sansa Stark']",A Song of Ice and FireGeorge R. R. Martin,"['F', 'M']",549
149,"['Kurt Hummel', 'Sebastian Smythe']",Glee,"['M', 'M']",548
150,"['Edward Elric', 'Winry Rockbell']",Fullmetal Alchemist,"['F', 'M']",547
151,"['Sheldon Cooper', 'Penny']",The Big Bang Theory (TV),"['F', 'M']",542
152,"['Alex Kingston', 'Matt Smith']",Doctor Who RPF,"['F', 'M']",540
153,"['Axel', 'Roxas']",Kingdom Hearts,"['M', 'M']",537
154,"['Duo Maxwell', 'Heero Yuy']",Gundam Wing,"['M', 'M']",527
155,"['Akanishi Jin', 'Kamenashi Kazuya']",KAT-TUN (Band),"['M', 'M']",525
156,"['Javert', 'Jean Valjean']",Les MisérablesAll Media Types,"['M', 'M']",525
157,"['Zayn Malik', 'Louis Tomlinson']",One Direction (Band),"['M', 'M']",519
158,"['Ninth Doctor', 'Rose Tyler']",Doctor Who (2005),"['F', 'M']",515
159,"['Dick Grayson', 'Bruce Wayne']",Batman (Comics),"['M', 'M']",511
160,"['Rachel Berry', 'Finn Hudson']",Glee,"['F', 'M']",509
161,"['Pavel Chekov', 'Hikaru Sulu']",Star Trek: Alternate Original Series (Movies),"['M', 'M']",505
