slash_ship,gen_ship,members_no,fandom,rpf_or_fic,gender_combo,race_combo,member_1,member_2,member_3,member_4
Adam Lambert x Kris Allen,Adam Lambert & Kris Allen,2,Adam Lambert,RPF,M / M,White,Adam Lambert - Adam Lambert,Adam Lambert - Kris Allen,None,None
Adam Lambert x Sauli Koskinen,Adam Lambert & Sauli Koskinen,2,Adam Lambert,RPF,M / M,White,Adam Lambert - Adam Lambert,Adam Lambert - Sauli Koskinen,None,None
Adam Lambert x Tommy Ratliff,Adam Lambert & Tommy Ratliff,2,Adam Lambert,RPF,M / M,White,Adam Lambert - Adam Lambert,Adam Lambert - Tommy Ratliff,None,None
Enid Sinclair x Wednesday Addams,Enid Sinclair & Wednesday Addams,2,Addam's Family Universe,fictional,F / F,White / Latin,Addam's Family Universe - Enid Sinclair,Addam's Family Universe - Wednesday Addams,None,None
Marceline x Princess Bubblegum,Marceline & Princess Bubblegum,2,Adventure Time,fictional,F / F,N.H.,Adventure Time - Marceline,Adventure Time - Princess Bubblegum,None,None
Andrew Minyard x Neil Josten,Andrew Minyard & Neil Josten,2,All For The Game,fictional,M / M,White,All For The Game - Andrew Minyard,All For The Game - Neil Josten,None,None
Cordelia Foxx/Goode | The Supreme x Misty Day,Cordelia Foxx/Goode | The Supreme & Misty Day,2,American Horror Story,fictional,F / F,White,American Horror Story - Cordelia Foxx/Goode | The Supreme,American Horror Story - Misty Day,None,None
Anne Boonchuy x Marcy Wu,Anne Boonchuy & Marcy Wu,2,Amphibia,fictional,F / F,SE Asian / E Asian,Amphibia - Anne Boonchuy,Amphibia - Marcy Wu,None,None
Anne Boonchuy x Marcy Wu x Sasha Waybright,Anne Boonchuy & Marcy Wu & Sasha Waybright,3,Amphibia,fictional,F / F,SE Asian / E Asian / White,Amphibia - Anne Boonchuy,Amphibia - Marcy Wu,Amphibia - Sasha Waybright,None
Anne Boonchuy x Sasha Waybright,Anne Boonchuy & Sasha Waybright,2,Amphibia,fictional,F / F,SE Asian / White,Amphibia - Anne Boonchuy,Amphibia - Sasha Waybright,None,None
Marcy Wu x Sasha Waybright,Marcy Wu & Sasha Waybright,2,Amphibia,fictional,F / F,E Asian / White,Amphibia - Marcy Wu,Amphibia - Sasha Waybright,None,None
Caitlyn x Vi,Caitlyn & Vi,2,Arcane,fictional,F / F,Asian (Multi) / White,Arcane - Caitlyn,Arcane - Vi,None,None
Jayce x Viktor,Jayce & Viktor,2,Arcane,fictional,M / M,Ambig / White,Arcane - Jayce,Arcane - Viktor,None,None
Annie Leonhart x Mikasa Ackerman,Annie Leonhart & Mikasa Ackerman,2,Attack on Titan | 進撃の巨人,fictional,F / F,White / E Asian (Multi),Attack on Titan | 進撃の巨人 - Annie Leonhart,Attack on Titan | 進撃の巨人 - Mikasa Ackerman,None,None
Eren Yeager x Levi Ackerman,Eren Yeager & Levi Ackerman,2,Attack on Titan | 進撃の巨人,fictional,M / M,White,Attack on Titan | 進撃の巨人 - Eren Yeager,Attack on Titan | 進撃の巨人 - Levi Ackerman,None,None
Erwin Smith x Levi Ackerman,Erwin Smith & Levi Ackerman,2,Attack on Titan | 進撃の巨人,fictional,M / M,White,Attack on Titan | 進撃の巨人 - Erwin Smith,Attack on Titan | 進撃の巨人 - Levi Ackerman,None,None
Historia Reiss | Krista Lenz x Ymir of the 104th,Historia Reiss | Krista Lenz & Ymir of the 104th,2,Attack on Titan | 進撃の巨人,fictional,F / F,White,Attack on Titan | 進撃の巨人 - Historia Reiss | Krista Lenz,Attack on Titan | 進撃の巨人 - Ymir of the 104th,None,None
Jean Kirstein x Marco Bott,Jean Kirstein & Marco Bott,2,Attack on Titan | 進撃の巨人,fictional,M / M,White,Attack on Titan | 進撃の巨人 - Jean Kirstein,Attack on Titan | 進撃の巨人 - Marco Bott,None,None
Asami Sato x Korra,Asami Sato & Korra,2,Avatar: The last Airbender Universe,fictional,F / F,E Asian / As Ind,Avatar: The last Airbender Universe - Asami Sato,Avatar: The last Airbender Universe - Korra,None,None
Azula x Ty Lee,Azula & Ty Lee,2,Avatar: The last Airbender Universe,fictional,F / F,E Asian,Avatar: The last Airbender Universe - Azula,Avatar: The last Airbender Universe - Ty Lee,None,None
Katara x Zuko,Katara & Zuko,2,Avatar: The last Airbender Universe,fictional,F / M,As Ind / E Asian,Avatar: The last Airbender Universe - Katara,Avatar: The last Airbender Universe - Zuko,None,None
Kya II x Lin Beifong,Kya II & Lin Beifong,2,Avatar: The last Airbender Universe,fictional,F / F,As Ind / S Asian (Multi) / E Asian,Avatar: The last Airbender Universe - Kya II,Avatar: The last Airbender Universe - Lin Beifong,None,None
Sokka x Zuko,Sokka & Zuko,2,Avatar: The last Airbender Universe,fictional,M / M,As Ind / E Asian,Avatar: The last Airbender Universe - Sokka,Avatar: The last Airbender Universe - Zuko,None,None
Mikage Reo x Nagi Seishirou,Mikage Reo & Nagi Seishirou,2,BLUELOCK | ブルーロック,fictional,M / M,E Asian,BLUELOCK | ブルーロック - Mikage Reo,BLUELOCK | ブルーロック - Nagi Seishirou,None,None
Jeon Jungkook | Jungkook x Kim Namjoon | Rap Monster/RM,Jeon Jungkook | Jungkook & Kim Namjoon | Rap Monster/RM,2,Bangtan Boys / BTS,RPF,M / M,E Asian,Bangtan Boys / BTS - Jeon Jungkook | Jungkook,Bangtan Boys / BTS - Kim Namjoon | Rap Monster/RM,None,None
Jeon Jungkook | Jungkook x Kim Taehyung | V,Jeon Jungkook | Jungkook & Kim Taehyung | V,2,Bangtan Boys / BTS,RPF,M / M,E Asian,Bangtan Boys / BTS - Jeon Jungkook | Jungkook,Bangtan Boys / BTS - Kim Taehyung | V,None,None
Jeon Jungkook | Jungkook x Min Yoongi | Suga,Jeon Jungkook | Jungkook & Min Yoongi | Suga,2,Bangtan Boys / BTS,RPF,M / M,E Asian,Bangtan Boys / BTS - Jeon Jungkook | Jungkook,Bangtan Boys / BTS - Min Yoongi | Suga,None,None
Jeon Jungkook | Jungkook x Park Jimin | Jimin,Jeon Jungkook | Jungkook & Park Jimin | Jimin,2,Bangtan Boys / BTS,RPF,M / M,E Asian,Bangtan Boys / BTS - Jeon Jungkook | Jungkook,Bangtan Boys / BTS - Park Jimin | Jimin,None,None
Jung Hoseok | J-Hope x Min Yoongi | Suga,Jung Hoseok | J-Hope & Min Yoongi | Suga,2,Bangtan Boys / BTS,RPF,M / M,E Asian,Bangtan Boys / BTS - Jung Hoseok | J-Hope,Bangtan Boys / BTS - Min Yoongi | Suga,None,None
Kim Namjoon | Rap Monster/RM x Kim Seokjin | Jin,Kim Namjoon | Rap Monster/RM & Kim Seokjin | Jin,2,Bangtan Boys / BTS,RPF,M / M,E Asian,Bangtan Boys / BTS - Kim Namjoon | Rap Monster/RM,Bangtan Boys / BTS - Kim Seokjin | Jin,None,None
Kim Namjoon | Rap Monster/RM x Park Jimin | Jimin,Kim Namjoon | Rap Monster/RM & Park Jimin | Jimin,2,Bangtan Boys / BTS,RPF,M / M,E Asian,Bangtan Boys / BTS - Kim Namjoon | Rap Monster/RM,Bangtan Boys / BTS - Park Jimin | Jimin,None,None
Kim Seokjin | Jin x Min Yoongi | Suga,Kim Seokjin | Jin & Min Yoongi | Suga,2,Bangtan Boys / BTS,RPF,M / M,E Asian,Bangtan Boys / BTS - Kim Seokjin | Jin,Bangtan Boys / BTS - Min Yoongi | Suga,None,None
Kim Taehyung | V x Min Yoongi | Suga,Kim Taehyung | V & Min Yoongi | Suga,2,Bangtan Boys / BTS,RPF,M / M,E Asian,Bangtan Boys / BTS - Kim Taehyung | V,Bangtan Boys / BTS - Min Yoongi | Suga,None,None
Kim Taehyung | V x Park Jimin | Jimin,Kim Taehyung | V & Park Jimin | Jimin,2,Bangtan Boys / BTS,RPF,M / M,E Asian,Bangtan Boys / BTS - Kim Taehyung | V,Bangtan Boys / BTS - Park Jimin | Jimin,None,None
Min Yoongi | Suga x Park Jimin | Jimin,Min Yoongi | Suga & Park Jimin | Jimin,2,Bangtan Boys / BTS,RPF,M / M,E Asian,Bangtan Boys / BTS - Min Yoongi | Suga,Bangtan Boys / BTS - Park Jimin | Jimin,None,None
Kara Thrace x Lee 'Apollo' Adama,Kara Thrace & Lee 'Apollo' Adama,2,Battlestar Galactica,fictional,F / M,White,Battlestar Galactica - Kara Thrace,Battlestar Galactica - Lee 'Apollo' Adama,None,None
Laura Roslin x William Adama,Laura Roslin & William Adama,2,Battlestar Galactica,fictional,F / M,White / Latin,Battlestar Galactica - Laura Roslin,Battlestar Galactica - William Adama,None,None
Jeremy Heere x Michael Mell,Jeremy Heere & Michael Mell,2,Be More Chill,fictional,M / M,White / Ambig,Be More Chill - Jeremy Heere,Be More Chill - Michael Mell,None,None
`Anthony Bridgerton x Kate Bridgerton, née Sheffield/Sharma`,`Anthony Bridgerton & Kate Bridgerton, née Sheffield/Sharma`,2,Bridgerton,fictional,M / F,White / Ambig,Bridgerton - Anthony Bridgerton,`Bridgerton - Kate Bridgerton, née Sheffield/Sharma`,None,None
Angel x Buffy Summers,Angel & Buffy Summers,2,Buffy Universe,fictional,M / F,White,Buffy Universe - Angel,Buffy Universe - Buffy Summers,None,None
Angel x Spike,Angel & Spike,2,Buffy Universe,fictional,M / M,White,Buffy Universe - Angel,Buffy Universe - Spike,None,None
Buffy Summers x Faith Lehane,Buffy Summers & Faith Lehane,2,Buffy Universe,fictional,F / F,White,Buffy Universe - Buffy Summers,Buffy Universe - Faith Lehane,None,None
Buffy Summers x Spike,Buffy Summers & Spike,2,Buffy Universe,fictional,F / M,White,Buffy Universe - Buffy Summers,Buffy Universe - Spike,None,None
Buffy Summers x Willow Rosenberg,Buffy Summers & Willow Rosenberg,2,Buffy Universe,fictional,F / F,White,Buffy Universe - Buffy Summers,Buffy Universe - Willow Rosenberg,None,None
Spike x Xander Harris,Spike & Xander Harris,2,Buffy Universe,fictional,M / M,White,Buffy Universe - Spike,Buffy Universe - Xander Harris,None,None
Tara Maclay x Willow Rosenberg,Tara Maclay & Willow Rosenberg,2,Buffy Universe,fictional,F / F,White,Buffy Universe - Tara Maclay,Buffy Universe - Willow Rosenberg,None,None
Akutagawa Ryuunosuke x Nakajima Atsushi,Akutagawa Ryuunosuke & Nakajima Atsushi,2,Bungou Stray Dogs | 文豪ストレイドッグス,fictional,M / M,E Asian,Bungou Stray Dogs | 文豪ストレイドッグス - Akutagawa Ryuunosuke,Bungou Stray Dogs | 文豪ストレイドッグス - Nakajima Atsushi,None,None
Dazai Osamu x Nakahara Chuuya,Dazai Osamu & Nakahara Chuuya,2,Bungou Stray Dogs | 文豪ストレイドッグス,fictional,M / M,E Asian,Bungou Stray Dogs | 文豪ストレイドッグス - Dazai Osamu,Bungou Stray Dogs | 文豪ストレイドッグス - Nakahara Chuuya,None,None
John 'Soap' MacTavish x Simon 'Ghost' Riley,John 'Soap' MacTavish & Simon 'Ghost' Riley,2,Call of Duty,fictional,M / M,White,Call of Duty - John 'Soap' MacTavish,Call of Duty - Simon 'Ghost' Riley,None,None
Simon 'Ghost' Riley x Y/N | Reader,Simon 'Ghost' Riley & Y/N | Reader,2,Call of Duty,fictional,M / Ambig,White / Ambig,Call of Duty - Simon 'Ghost' Riley,Call of Duty - Y/N | Reader,None,None
Carmilla Karnstein x Danny Lawrence,Carmilla Karnstein & Danny Lawrence,2,Carmilla,fictional,F / F,White,Carmilla - Carmilla Karnstein,Carmilla - Danny Lawrence,None,None
Carmilla Karnstein x Danny Lawrence x Laura Hollis,Carmilla Karnstein & Danny Lawrence & Laura Hollis,3,Carmilla,fictional,F / F,White,Carmilla - Carmilla Karnstein,Carmilla - Danny Lawrence,Carmilla - Laura Hollis,None
Carmilla Karnstein x Laura Hollis,Carmilla Karnstein & Laura Hollis,2,Carmilla,fictional,F / F,White,Carmilla - Carmilla Karnstein,Carmilla - Laura Hollis,None,None
Danny Lawrence x Laura Hollis,Danny Lawrence & Laura Hollis,2,Carmilla,fictional,F / F,White,Carmilla - Danny Lawrence,Carmilla - Laura Hollis,None,None
Carol Aird x Therese Belivet,Carol Aird & Therese Belivet,2,Carol,fictional,F / F,White,Carol - Carol Aird,Carol - Therese Belivet,None,None
Simon Snow x Tyrannus Basilton 'Baz' Grimm-Pitch,Simon Snow & Tyrannus Basilton 'Baz' Grimm-Pitch,2,Carry On,fictional,M / M,White / MENA (Multi),Carry On - Simon Snow,Carry On - Tyrannus Basilton 'Baz' Grimm-Pitch,None,None
Kate Beckett x Richard Castle,Kate Beckett & Richard Castle,2,Castle,fictional,F / M,White,Castle - Kate Beckett,Castle - Richard Castle,None,None
Eric Bittle x Jack Zimmermann,Eric Bittle & Jack Zimmermann,2,Check Please!,fictional,M / M,White,Check Please! - Eric Bittle,Check Please! - Jack Zimmermann,None,None
Mary Wardwell | Madam Satan / Lilith x Zelda Spellman,Mary Wardwell | Madam Satan / Lilith & Zelda Spellman,2,Chilling Adventures of Sabrina,fictional,F / F,White,Chilling Adventures of Sabrina - Mary Wardwell | Madam Satan / Lilith,Chilling Adventures of Sabrina - Zelda Spellman,None,None
Aaron Hotchner x Spencer Reid,Aaron Hotchner & Spencer Reid,2,Criminal Minds,fictional,M / M,White,Criminal Minds - Aaron Hotchner,Criminal Minds - Spencer Reid,None,None
Derek Morgan x Spencer Reid,Derek Morgan & Spencer Reid,2,Criminal Minds,fictional,M / M,Black / White,Criminal Minds - Derek Morgan,Criminal Minds - Spencer Reid,None,None
Emily Prentiss x Jennifer 'JJ' Jareau,Emily Prentiss & Jennifer 'JJ' Jareau,2,Criminal Minds,fictional,F / F,White,Criminal Minds - Emily Prentiss,Criminal Minds - Jennifer 'JJ' Jareau,None,None
Beauregard Lionett x Jester Lavorre,Beauregard Lionett & Jester Lavorre,2,Critical Role,fictional,F / F,Ambig / N.H.,Critical Role - Beauregard Lionett,Critical Role - Jester Lavorre,None,None
Beauregard Lionett x Yasha Nydoorin,Beauregard Lionett & Yasha Nydoorin,2,Critical Role,fictional,F / F,Ambig / White,Critical Role - Beauregard Lionett,Critical Role - Yasha Nydoorin,None,None
Alexander Joseph 'Lex' Luthor x Clark Kent | Superman,Alexander Joseph 'Lex' Luthor & Clark Kent | Superman,2,DC,fictional,M / M,White,DC - Alexander Joseph 'Lex' Luthor,DC - Clark Kent | Superman,None,None
Alexandra 'Alex' Danvers | Supergirl/Sentinel x Astra In-Ze,Alexandra 'Alex' Danvers | Supergirl/Sentinel & Astra In-Ze,2,DC,fictional,F / F,White,DC - Alexandra 'Alex' Danvers | Supergirl/Sentinel,DC - Astra In-Ze,None,None
Alexandra 'Alex' Danvers | Supergirl/Sentinel x Kara Danvers/Zor-El | Supergirl,Alexandra 'Alex' Danvers | Supergirl/Sentinel & Kara Danvers/Zor-El | Supergirl,2,DC,fictional,F / F,White,DC - Alexandra 'Alex' Danvers | Supergirl/Sentinel,DC - Kara Danvers/Zor-El | Supergirl,None,None
Alexandra 'Alex' Danvers | Supergirl/Sentinel x Kelly Olsen | Guardian,Alexandra 'Alex' Danvers | Supergirl/Sentinel & Kelly Olsen | Guardian,2,DC,fictional,F / F,White / Black,DC - Alexandra 'Alex' Danvers | Supergirl/Sentinel,DC - Kelly Olsen | Guardian,None,None
Alexandra 'Alex' Danvers | Supergirl/Sentinel x Maggie Sawyer,Alexandra 'Alex' Danvers | Supergirl/Sentinel & Maggie Sawyer,2,DC,fictional,F / F,White / Ambig,DC - Alexandra 'Alex' Danvers | Supergirl/Sentinel,DC - Maggie Sawyer,None,None
Alexandra 'Alex' Danvers | Supergirl/Sentinel x Samantha 'Sam' Arias | Reign,Alexandra 'Alex' Danvers | Supergirl/Sentinel & Samantha 'Sam' Arias | Reign,2,DC,fictional,F / F,White / Latin,DC - Alexandra 'Alex' Danvers | Supergirl/Sentinel,DC - Samantha 'Sam' Arias | Reign,None,None
Ava Sharpe | Roundhouse x Sara Lance | White Canary,Ava Sharpe | Roundhouse & Sara Lance | White Canary,2,DC,fictional,F / F,White,DC - Ava Sharpe | Roundhouse,DC - Sara Lance | White Canary,None,None
Barry Allen | The Flash x Leonard Snart | Captain Cold,Barry Allen | The Flash & Leonard Snart | Captain Cold,2,DC,fictional,M / M,White / White (Multi),DC - Barry Allen | The Flash,DC - Leonard Snart | Captain Cold,None,None
Bruce Wayne | Batman x Clark Kent | Superman,Bruce Wayne | Batman & Clark Kent | Superman,2,DC,fictional,M / M,White,DC - Bruce Wayne | Batman,DC - Clark Kent | Superman,None,None
Bruce Wayne | Batman x Nicholas 'Dick' Grayson | Robin/Nightwing,Bruce Wayne | Batman & Nicholas 'Dick' Grayson | Robin/Nightwing,2,DC,fictional,M / M,White / Romani,DC - Bruce Wayne | Batman,DC - Nicholas 'Dick' Grayson | Robin/Nightwing,None,None
Cat Grant x Kara Danvers/Zor-El | Supergirl,Cat Grant & Kara Danvers/Zor-El | Supergirl,2,DC,fictional,F / F,White,DC - Cat Grant,DC - Kara Danvers/Zor-El | Supergirl,None,None
Clark Kent | Superman x Lois Lane,Clark Kent | Superman & Lois Lane,2,DC,fictional,M / F,White,DC - Clark Kent | Superman,DC - Lois Lane,None,None
Connor 'Kon-El' Kent | Superboy x Tim Drake | Robin/Red Robin,Connor 'Kon-El' Kent | Superboy & Tim Drake | Robin/Red Robin,2,DC,fictional,M / M,White,DC - Connor 'Kon-El' Kent | Superboy,DC - Tim Drake | Robin/Red Robin,None,None
Edward Nygma | The Riddler x Oswald Cobblepot | The Penguin,Edward Nygma | The Riddler & Oswald Cobblepot | The Penguin,2,DC,fictional,M / M,White,DC - Edward Nygma | The Riddler,DC - Oswald Cobblepot | The Penguin,None,None
Felicity Smoak x Oliver Queen | Green Arrow,Felicity Smoak & Oliver Queen | Green Arrow,2,DC,fictional,F / M,White,DC - Felicity Smoak,DC - Oliver Queen | Green Arrow,None,None
Felicity Smoak x Sara Lance | White Canary,Felicity Smoak & Sara Lance | White Canary,2,DC,fictional,F / F,White,DC - Felicity Smoak,DC - Sara Lance | White Canary,None,None
Harleen Quinzel | Harley Quinn x Pamela Isley | Poison Ivy,Harleen Quinzel | Harley Quinn & Pamela Isley | Poison Ivy,2,DC,fictional,F / F,White / Ambig,DC - Harleen Quinzel | Harley Quinn,DC - Pamela Isley | Poison Ivy,None,None
Jason Peter Todd | Robin/Red Hood x Tim Drake | Robin/Red Robin,Jason Peter Todd | Robin/Red Hood & Tim Drake | Robin/Red Robin,2,DC,fictional,M / M,White,DC - Jason Peter Todd | Robin/Red Hood,DC - Tim Drake | Robin/Red Robin,None,None
Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,Kara Danvers/Zor-El | Supergirl & Lena Luthor | Ultrawoman,2,DC,fictional,F / F,White,DC - Kara Danvers/Zor-El | Supergirl,DC - Lena Luthor | Ultrawoman,None,None
Nyssa Raatko/al Ghul x Sara Lance | White Canary,Nyssa Raatko/al Ghul & Sara Lance | White Canary,2,DC,fictional,F / F,MENA / White,DC - Nyssa Raatko/al Ghul,DC - Sara Lance | White Canary,None,None
Hinata Hajime x Komaeda Nagito,Hinata Hajime & Komaeda Nagito,2,Dangan Ronpa,fictional,M / M,E Asian,Dangan Ronpa - Hinata Hajime,Dangan Ronpa - Komaeda Nagito,None,None
Oma Kokichi x Saihara Shuichi,Oma Kokichi & Saihara Shuichi,2,Dangan Ronpa,fictional,M / M,E Asian,Dangan Ronpa - Oma Kokichi,Dangan Ronpa - Saihara Shuichi,None,None
Evie x Mal,Evie & Mal,2,Descendants,fictional,F / F,Latin / White,Descendants - Evie,Descendants - Mal,None,None
Connor (RK800) x Hank Anderson,Connor (RK800) & Hank Anderson,2,Detroit: Become Human,fictional,M / M,White,Detroit: Become Human - Connor (RK800),Detroit: Become Human - Hank Anderson,None,None
Connor (RK900) x Gavin Reed,Connor (RK900) & Gavin Reed,2,Detroit: Become Human,fictional,M / M,White,Detroit: Become Human - Connor (RK900),Detroit: Become Human - Gavin Reed,None,None
Alex Kingston x Matt Smith,Alex Kingston & Matt Smith,2,Doctor Who,RPF,F / M,White,Doctor Who - Alex Kingston,Doctor Who - Matt Smith,None,None
Amy Pond x Rory Williams,Amy Pond & Rory Williams,2,Doctor Who,fictional,F / M,White,Doctor Who - Amy Pond,Doctor Who - Rory Williams,None,None
Clara Oswin Oswald x The Twelfth Doctor,Clara Oswin Oswald & The Twelfth Doctor,2,Doctor Who,fictional,F / M,White,Doctor Who - Clara Oswin Oswald,Doctor Who - The Twelfth Doctor,None,None
Jenny Flint x Madame Vastra,Jenny Flint & Madame Vastra,2,Doctor Who,fictional,F / F,White / N.H.,Doctor Who - Jenny Flint,Doctor Who - Madame Vastra,None,None
River Song x The Doctor,River Song & The Doctor,2,Doctor Who,fictional,F / M,White,Doctor Who - River Song,Doctor Who - The Doctor,None,None
River Song x The Eleventh Doctor,River Song & The Eleventh Doctor,2,Doctor Who,fictional,F / M,White,Doctor Who - River Song,Doctor Who - The Eleventh Doctor,None,None
Rose Tyler x The Ninth Doctor,Rose Tyler & The Ninth Doctor,2,Doctor Who,fictional,F / M,White,Doctor Who - Rose Tyler,Doctor Who - The Ninth Doctor,None,None
Rose Tyler x The Tenth Doctor,Rose Tyler & The Tenth Doctor,2,Doctor Who,fictional,F / M,White,Doctor Who - Rose Tyler,Doctor Who - The Tenth Doctor,None,None
The Thirteenth Doctor x Yasmin Khan,The Thirteenth Doctor & Yasmin Khan,2,Doctor Who,fictional,F / F,White / S Asian,Doctor Who - The Thirteenth Doctor,Doctor Who - Yasmin Khan,None,None
Brooke Lynn Hytes x Vanessa Vanjie Mateo,Brooke Lynn Hytes & Vanessa Vanjie Mateo,2,Drag,RPF,M | F | Other / M | F | Other,White / Latin,Drag - Brooke Lynn Hytes,Drag - Vanessa Vanjie Mateo,None,None
Katya Zamolodchikova x Trixie Mattel,Katya Zamolodchikova & Trixie Mattel,2,Drag,RPF,M | F | Other / M | F | Other,White / Am Ind,Drag - Katya Zamolodchikova,Drag - Trixie Mattel,None,None
Alistair x Warden | Player Character,Alistair & Warden | Player Character,2,Dragon Age,fictional,M / Ambig,White / Ambig,Dragon Age - Alistair,Dragon Age - Warden | Player Character,None,None
Cullen Rutherford x Inquisitor | Player Character,Cullen Rutherford & Inquisitor | Player Character,2,Dragon Age,fictional,M / Ambig,White / Ambig,Dragon Age - Cullen Rutherford,Dragon Age - Inquisitor | Player Character,None,None
Dorian Pavus x Inquisitor | Player Character,Dorian Pavus & Inquisitor | Player Character,2,Dragon Age,fictional,M / Ambig,Asian (Multi) / Ambig,Dragon Age - Dorian Pavus,Dragon Age - Inquisitor | Player Character,None,None
Dorian Pavus x Iron Bull,Dorian Pavus & Iron Bull,2,Dragon Age,fictional,M / M,Asian (Multi) / N.H.,Dragon Age - Dorian Pavus,Dragon Age - Iron Bull,None,None
Fenris x Hawke | Player Character,Fenris & Hawke | Player Character,2,Dragon Age,fictional,M / Ambig,White / Ambig,Dragon Age - Fenris,Dragon Age - Hawke | Player Character,None,None
Hawke (Female) | Player Character x Isabela,Hawke (Female) | Player Character & Isabela,2,Dragon Age,fictional,F / F,Ambig,Dragon Age - Hawke (Female) | Player Character,Dragon Age - Isabela,None,None
Inquisitor (Female) | Player Character x Josephine Montilyet,Inquisitor (Female) | Player Character & Josephine Montilyet,2,Dragon Age,fictional,F / F,Ambig,Dragon Age - Inquisitor (Female) | Player Character,Dragon Age - Josephine Montilyet,None,None
Inquisitor (Female) | Player Character x Sera,Inquisitor (Female) | Player Character & Sera,2,Dragon Age,fictional,F / F,Ambig / White,Dragon Age - Inquisitor (Female) | Player Character,Dragon Age - Sera,None,None
Inquisitor | Player Character x Solas,Inquisitor | Player Character & Solas,2,Dragon Age,fictional,Ambig / M,Ambig / White,Dragon Age - Inquisitor | Player Character,Dragon Age - Solas,None,None
Leliana x Warden (Female) | Player Character,Leliana & Warden (Female) | Player Character,2,Dragon Age,fictional,F / F,White / Ambig,Dragon Age - Leliana,Dragon Age - Warden (Female) | Player Character,None,None
Benton Fraser x Ray Kowalski,Benton Fraser & Ray Kowalski,2,Due South,fictional,M / M,White,Due South - Benton Fraser,Due South - Ray Kowalski,None,None
Benton Fraser x Ray Vecchio,Benton Fraser & Ray Vecchio,2,Due South,fictional,M / M,White,Due South - Benton Fraser,Due South - Ray Vecchio,None,None
